训练轮次,平均奖励,电压越限次数,PSH约束违反,PSH保持次数,PSH发电次数,PSH抽水次数,PSH停止次数,上水库SOC,下水库SOC,电压最小值,电压最大值,总损失,Actor损失,Critic损失,评估奖励
264,9.3609,21,0,29,209,184,250,0.217,0.54,0.947,1.0466,0.453169,0.003071,0.924575,
265,9.3039,31,0,30,205,211,226,0.4,0.284,0.9466,1.0465,0.428616,0.006302,0.869054,
266,9.515,17,0,22,219,211,220,0.371,0.442,0.9465,1.0466,0.452469,0.004177,0.920927,
267,9.7273,32,0,26,218,208,220,0.615,0.088,0.9466,1.0467,0.445532,0.002899,0.909747,
268,9.4294,24,0,26,196,189,261,0.324,0.419,0.946,1.0463,0.439261,-0.001279,0.905479,
269,9.3832,34,0,25,191,197,259,0.423,0.238,0.9459,1.0466,0.410951,0.000725,0.844896,
270,9.8249,12,0,33,201,187,251,0.062,0.765,0.9466,1.0465,0.44505,-0.004283,0.923069,10.0
271,9.4792,21,0,25,188,208,251,0.359,0.416,0.9459,1.0466,0.433779,-0.000997,0.893978,
272,9.2657,29,0,38,199,204,231,0.383,0.316,0.9459,1.0459,0.425877,0.003119,0.869987,
273,9.4124,22,0,26,200,198,248,0.296,0.463,0.9459,1.0464,0.42715,-0.001657,0.882029,
274,9.3966,21,0,27,211,208,226,0.355,0.419,0.946,1.0465,0.413542,-0.008172,0.867823,
275,9.3996,23,0,31,200,206,235,0.183,0.553,0.9459,1.0463,0.42432,-0.000522,0.874141,
276,9.8151,22,0,30,213,183,246,0.755,0.056,0.9458,1.0462,0.459255,0.000722,0.941397,
277,9.4333,20,0,24,203,190,255,0.561,0.247,0.9457,1.0456,0.472092,0.001757,0.96499,
278,9.3952,21,0,29,196,222,225,0.452,0.335,0.9473,1.0468,0.4184,-0.001358,0.863851,
279,9.303,37,0,30,204,196,242,0.319,0.307,0.9461,1.0465,0.387407,-0.00227,0.803839,
280,9.7787,22,0,25,217,193,237,0.042,0.675,0.9463,1.0465,0.433816,0.002135,0.887795,10.0
281,9.3756,26,0,27,204,206,235,0.491,0.254,0.9468,1.0465,0.45235,0.00262,0.923838,
282,9.3581,26,0,28,198,199,247,0.273,0.447,0.9461,1.0466,0.405417,-0.005629,0.846519,
283,9.3884,16,0,29,219,194,230,0.416,0.413,0.9466,1.0472,0.479263,0.004177,0.974539,
284,9.8033,17,0,23,197,205,247,0.06,0.718,0.9473,1.0467,0.418472,-0.007274,0.875962,
285,9.2724,23,0,37,204,208,223,0.244,0.497,0.9462,1.0465,0.433248,-0.000772,0.892547,
286,9.3413,23,0,33,208,209,222,0.235,0.505,0.9468,1.0469,0.415858,-0.004717,0.865635,
287,9.3283,27,0,31,194,202,245,0.293,0.415,0.947,1.0465,0.429251,-0.00165,0.886286,
288,9.2934,28,0,31,201,224,216,0.338,0.367,0.9459,1.0466,0.426654,0.002404,0.872961,
289,9.47,22,0,22,185,203,262,0.298,0.46,0.9466,1.0468,0.423372,-0.004062,0.879297,
290,9.3024,30,0,34,183,209,246,0.352,0.335,0.9468,1.0466,0.420225,0.005754,0.853342,10.0
291,9.5382,29,0,27,205,221,219,0.575,0.148,0.9467,1.0467,0.420225,0.005754,0.853342,
292,9.5182,23,0,17,200,224,231,0.476,0.295,0.9467,1.0468,0.423497,-0.001474,0.874305,
293,9.4254,26,0,28,212,199,233,0.393,0.338,0.9462,1.0462,0.459527,0.007093,0.929269,
294,9.344,33,0,28,204,223,217,0.414,0.255,0.9468,1.0469,0.435084,0.004009,0.886588,
295,9.4288,28,0,23,227,216,206,0.53,0.197,0.9458,1.0466,0.404044,-0.004983,0.84242,
296,9.6666,37,0,34,226,207,205,0.138,0.461,0.9464,1.0469,0.401724,-0.002741,0.833413,
297,9.656,21,0,22,223,202,225,0.67,0.14,0.9461,1.0461,0.441614,-0.000727,0.908968,
298,9.5076,22,0,20,215,192,245,0.445,0.33,0.946,1.0456,0.433858,-0.002254,0.89656,
299,9.4734,22,0,24,186,233,229,0.272,0.481,0.9468,1.0465,0.45947,0.00151,0.940294,
300,9.4823,21,0,20,217,202,233,0.21,0.549,0.9462,1.0464,0.450609,-0.000668,0.926949,10.0
301,9.2583,36,0,32,201,197,242,0.384,0.252,0.9466,1.0468,0.413373,0.001683,0.847816,
302,9.4961,18,0,21,208,210,233,0.593,0.239,0.9462,1.0469,0.471156,0.006475,0.953682,
303,9.4591,21,0,21,225,222,204,0.269,0.493,0.9468,1.0466,0.462396,0.006628,0.935893,
304,9.4001,20,0,30,210,211,221,0.421,0.37,0.9466,1.0465,0.414277,-0.005507,0.863874,
305,9.4774,32,0,37,189,217,229,0.529,0.162,0.946,1.0466,0.44419,0.005482,0.90175,
306,9.6047,16,0,20,197,212,243,0.168,0.633,0.946,1.0464,0.438458,-0.003496,0.908212,
307,9.5423,16,0,19,216,196,241,0.32,0.497,0.9473,1.0465,0.431341,-0.004382,0.895727,
308,9.4687,16,0,31,202,203,236,0.176,0.625,0.9461,1.0465,0.43271,-0.003244,0.896151,
309,9.3896,24,0,28,191,201,252,0.519,0.246,0.9466,1.0468,0.424392,0.001149,0.870755,
310,9.4518,21,0,22,219,178,253,0.305,0.465,0.9461,1.0461,0.433214,0.000491,0.889739,10.0
311,9.3788,47,0,27,214,199,232,0.178,0.338,0.9467,1.0468,0.381838,0.003045,0.782046,
312,9.398,33,0,27,192,181,272,0.334,0.322,0.9466,1.0466,0.408727,0.00144,0.838978,
313,9.4086,20,0,34,197,186,255,0.183,0.58,0.9468,1.0466,0.450878,0.00333,0.91945,
314,9.326,19,0,31,215,186,240,0.339,0.452,0.9463,1.0466,0.42381,-0.004852,0.881624,
315,9.131,37,0,39,203,192,238,0.392,0.236,0.9455,1.0465,0.386728,-0.000513,0.798847,
316,9.8347,15,0,25,197,205,245,0.093,0.707,0.946,1.0457,0.477358,0.006601,0.965768,
317,9.4793,22,0,24,212,214,222,0.541,0.247,0.9467,1.0464,0.475177,0.006372,0.961941,
318,9.4373,34,0,21,203,212,236,0.364,0.288,0.9464,1.0466,0.389567,-0.003162,0.809896,
319,9.3664,19,0,31,209,194,238,0.345,0.445,0.9473,1.0467,0.459307,-0.001819,0.946576,
320,9.4402,22,0,24,228,178,242,0.501,0.279,0.9459,1.0465,0.44136,-0.000557,0.908065,10.0
321,9.4136,22,0,30,202,194,246,0.242,0.51,0.9466,1.0465,0.421671,-0.00851,0.884672,
322,9.636,21,0,26,213,188,245,0.659,0.15,0.9468,1.0463,0.440523,-0.003263,0.911821,
323,9.2787,23,0,35,195,209,233,0.437,0.328,0.9463,1.0466,0.407198,-0.002731,0.84407,
324,9.5639,18,0,17,212,191,252,0.344,0.458,0.9461,1.046,0.423899,-0.002886,0.877792,
325,9.3744,21,0,29,203,193,247,0.447,0.34,0.9466,1.0471,0.443288,0.002543,0.90573,
326,9.2256,36,0,34,196,217,225,0.383,0.253,0.9457,1.0466,0.419174,0.00587,0.850897,
327,9.4048,14,0,33,180,222,237,0.408,0.439,0.9468,1.0464,0.431386,-0.005477,0.897928,
328,9.2587,31,0,33,203,192,244,0.257,0.408,0.9459,1.0465,0.388727,-0.001506,0.804751,
329,9.426,22,0,24,224,197,227,0.3,0.458,0.947,1.0465,0.424884,-0.002413,0.878822,
330,9.3139,29,0,27,201,206,238,0.312,0.384,0.9465,1.0466,0.413462,0.00112,0.848977,10.0
